 redmi 9	 6.39" Screen	 Triple Camera	 6GB RAM	 3300mAh Battery
 nokia	 6.3" Screen	 Triple Camera	 6GB RAM	 3500mAh Battery
 samsung galaxy a9	 6.3" Screen	 Quad Camera	 6GB RAM	 3800mAh Battery
 honor 7a	 5.7" Screen	 Dual Camera	 3GB RAM	 3000mAh Battery
 nokia	 6.39" Screen	 Triple Camera	 6GB RAM	 3500mAh Battery
 realme 4 pro	 6.53" Screen	 Dual Camera	 4GB RAM	 3765mAh Battery
 tecno 9	 6.4" Screen	 Triple Camera	 6GB RAM	 3500mAh Battery
 samsung galaxy s10 e	 5.8" Screen	 Dual Camera	 6GB RAM	 3100mAh Battery
 oneplus 7 pro	 6.67" Screen	 Triple Camera	 8GB RAM	 4000mAh Battery
 infinix note 5	 5.99" Screen	 12 MP Camera	 3GB RAM	 4500mAh Battery
 phone	 2.8" Screen	 256MB RAM	 1480mAh Battery
 huawei	 6.5" Screen	 Dual Camera	 4GB RAM	 4000mAh Battery
 nokia 3.1 plus	 6.0" Screen	 Dual Camera	 3GB RAM	 3500mAh Battery
 motorola moto e3 power	 5.0" Screen	 8 MP Camera	 2GB RAM	 3500mAh Battery
 nokia	 5.84" Screen	 Dual Camera	 4GB RAM	 3060mAh Battery
 lg pro	 6.21" Screen	 Triple Camera	 4GB RAM	 4000mAh Battery
 realme 3i	 6.22" Screen	 Dual Camera	 4GB RAM	 4230mAh Battery
 samsung galaxy a8 plus	 6" Screen	 16 MP Camera	 6GB RAM	 3500mAh Battery
 redmi note 8	 6.39" Screen	 Quad Camera	 4GB RAM	 4000mAh Battery
 lenovo k8 note	 5.5" Screen	 Dual Camera	 4GB RAM	 4000mAh Battery
 nokia dual sim	 2.4" Screen	 0.3 MP Camera	 1020mAh Battery
 vivo	 6.22" Screen	 13 MP Camera	 2GB RAM	 3260mAh Battery
 redmi 5	 5.7" Screen	 12 MP Camera	 2GB RAM	 3300mAh Battery
 samsung galaxy	 6.4" Screen	 Triple Camera	 4GB RAM	 6000mAh Battery
 samsung galaxy s9	 5.8" Screen	 12 MP Camera	 4GB RAM	 3000mAh Battery
 samsung galaxy	 7.3" Screen	 Triple Camera	 12GB RAM	 4380mAh Battery
 honor 20	 6.26" Screen	 Quad Camera	 6GB RAM	 3750mAh Battery
 apple iphone 6	 4.7" Screen	 8 MP Camera	 1GB RAM	 1810mAh Battery
 samsung galaxy j2	 5.0" Screen	 8 MP Camera	 2GB RAM	 2600mAh Battery
 apple iphone x	 5.8" Screen	 Dual Camera	 3GB RAM	 2716mAh Battery
 nokia 1	 4.5" Screen	 5 MP Camera	 1GB RAM	 2150mAh Battery
 honor view 20	 6.4" Screen	 48 MP Camera	 6GB RAM	 4000mAh Battery
 redmi	 6.39" Screen	 Triple Camera	 6GB RAM	 4000mAh Battery
 samsung metro	 2.4" Screen	 2 MP Camera	 32MB RAM	 1200mAh Battery
 vivo y12	 6.35" Screen	 Triple Camera	 3GB RAM	 5000mAh Battery
 samsung galaxy	 6.0" Screen	 Dual Camera	 4GB RAM	 3500mAh Battery
 oneplus 6t	 6.41" Screen	 Dual Camera	 8GB RAM	 3700mAh Battery
 oppo r17 pro	 6.4" Screen	 Dual Camera	 8GB RAM	 3700mAh Battery
 realme 2 pro	 6.3" Screen	 Dual Camera	 6GB RAM	 3500mAh Battery
 apple iphone se	 4.0" Screen	 12 MP Camera	 2GB RAM	 1642mAh Battery
 samsung galaxy s8	 5.8" Screen	 12 MP Camera	 4GB RAM	 3000mAh Battery
 honor 10 lite	 6.21" Screen	 Dual Camera	 3GB RAM	 3400mAh Battery
 samsung galaxy a40	 5.9" Screen	 Dual Camera	 4GB RAM	 3100mAh Battery
 nokia 3.2	 6.26" Screen	 13 MP Camera	 2GB RAM	 4000mAh Battery
 nokia 9	 5.99" Screen	 Penta Camera	 6GB RAM	 3320mAh Battery
 oppo reno z	 6.4" Screen	 Dual Camera	 6GB RAM	 4035mAh Battery
 samsung galaxy j7 max	 5.7" Screen	 13 MP Camera	 4GB RAM	 3300mAh Battery
 micromax bharat 5 pro	 5.2" Screen	 13 MP Camera	 3GB RAM	 5000mAh Battery
 oneplus 6t edition	 6.41" Screen	 Dual Camera	 10GB RAM	 3700mAh Battery
 asus phone	 6.0" Screen	 Dual Camera	 8GB RAM	 4000mAh Battery
 redmi a1	 5.5" Screen	 Dual Camera	 4GB RAM	 3080mAh Battery
 nokia	 2.4" Screen	 2 MP Camera	 1200mAh Battery
 samsung galaxy on max	 5.7" Screen	 13 MP Camera	 4GB RAM	 3300mAh Battery
 vivo	 6.59" Screen	 Dual Camera	 8GB RAM	 4000mAh Battery
 yu ace	 5.45" Screen	 13 MP Camera	 2GB RAM	 4000mAh Battery
 oppo f5	 6.0" Screen	 16 MP Camera	 4GB RAM	 3200mAh Battery
 nokia	 5.9" Screen	 Dual Camera	 3GB RAM	 3500mAh Battery
 lenovo youth edition	 6.39" Screen	 Triple Camera	 4GB RAM	 4050mAh Battery
 coolpad cool 3	 5.71" Screen	 Dual Camera	 2GB RAM	 3000mAh Battery
 oppo f11	 6.5" Screen	 Dual Camera	 6GB RAM	 4020mAh Battery
 huawei nova	 6.4" Screen	 Quad Camera	 6GB RAM	 4000mAh Battery
 samsung galaxy j4	 5.5" Screen	 13 MP Camera	 2GB RAM	 3000mAh Battery
 realme	 6.4" Screen	 Quad Camera	 4GB RAM	 4000mAh Battery
 samsung galaxy j7	 5.5" Screen	 13 MP Camera	 1.5GB RAM	 3000mAh Battery
 asus zenfone max pro m2	 6.26" Screen	 Dual Camera	 4GB RAM	 5000mAh Battery
 samsung galaxy s10 x	 6.7" Screen	 Triple Camera	 8GB RAM	 4500mAh Battery
 apple iphone xr	 6.1" Screen	 12 MP Camera	 3GB RAM	 2942mAh Battery
 micromax bharat 1	 2.4" Screen	 0.3 MP Camera	 512MB RAM	 1800mAh Battery
 samsung metro xl	 2.8" Screen	 3.1 MP Camera	 64MB RAM	 1200mAh Battery
 samsung galaxy j7 pro	 5.5" Screen	 13 MP Camera	 3GB RAM	 3600mAh Battery
 nokia 106	 1.8" Screen	 4MB RAM	 800mAh Battery
 blackberry	 5.99" Screen	 Dual Camera	 4GB RAM	 4000mAh Battery
 samsung galaxy s10 plus	 6.4" Screen	 Triple Camera	 12GB RAM	 4100mAh Battery
 nokia plus	 6.18" Screen	 Dual Camera	 4GB RAM	 3500mAh Battery
 nokia 8.1	 6.18" Screen	 Dual Camera	 6GB RAM	 3500mAh Battery
 redmi x	 6.39" Screen	 Triple Camera	 6GB RAM	 4000mAh Battery
 vivo y71	 6.0" Screen	 13 MP Camera	 3GB RAM	 3360mAh Battery
 huawei nova 5 pro	 6.39" Screen	 Quad Camera	 8GB RAM	 3500mAh Battery
 2	 2.4" Screen	 2 MP Camera	 512MB RAM	 2000mAh Battery
 realme c1	 6.2" Screen	 Dual Camera	 3GB RAM	 4230mAh Battery
 nokia 105 dual sim	 1.8" Screen	 800mAh Battery
 huawei nova pro	 6.26" Screen	 Quad Camera	 6GB RAM	 4000mAh Battery
 honor 8x	 6.5" Screen	 Dual Camera	 6GB RAM	 3750mAh Battery
 samsung galaxy	 6.4" Screen	 Quad Camera	 8GB RAM	 3700mAh Battery
 nokia 5.1	 5.5" Screen	 16 MP Camera	 3GB RAM	 3000mAh Battery
 nokia 4g	 2.4" Screen	 0.3 MP Camera	 16MB RAM	 1200mAh Battery
 oppo a3s	 6.2" Screen	 Dual Camera	 3GB RAM	 4230mAh Battery
 samsung galaxy on nxt	 5.5" Screen	 13 MP Camera	 3GB RAM	 3300mAh Battery
 oppo reno	 6.53" Screen	 Quad Camera	 8GB RAM	 4000mAh Battery
 motorola x4	 5.2" Screen	 Dual Camera	 6GB RAM	 3000mAh Battery
 micromax canvas infinity	 5.7" Screen	 13 MP Camera	 3GB RAM	 2900mAh Battery
 motorola e4 plus	 5.5" Screen	 13 MP Camera	 3GB RAM	 5000mAh Battery
 infinix smart 2	 5.45" Screen	 13 MP Camera	 3GB RAM	 3050mAh Battery
 lenovo k9	 5.7" Screen	 Dual Camera	 3GB RAM	 3000mAh Battery
 samsung galaxy c9 pro	 6.0" Screen	 16 MP Camera	 6GB RAM	 4000mAh Battery
 huawei nova 3i	 6.3" Screen	 Dual Camera	 4GB RAM	 3340mAh Battery
 oppo reno	 6.53" Screen	 Quad Camera	 8GB RAM	 4000mAh Battery
 asus zenfone max m2	 6.26" Screen	 Dual Camera	 4GB RAM	 4000mAh Battery
 micromax x1i power	 2.4" Screen	 0.3 MP Camera	 1750mAh Battery	 0.3 MP Front Camera
 vivo v5	 5.5" Screen	 13 MP Camera	 4GB RAM	 3000mAh Battery
 nubia	 6.42" Screen	 Triple Camera	 6GB RAM	 4000mAh Battery
 samsung galaxy j2	 4.7" Screen	 5 MP Camera	 1GB RAM	 2000mAh Battery
 apple iphone 5s	 4" Screen	 8 MP Camera	 1GB RAM	 1560mAh Battery
 samsung galaxy on7 pro	 5.5" Screen	 13 MP Camera	 2GB RAM	 3000mAh Battery
	 1.8" Screen	 0.3 MP Camera	 1000mAh Battery
 nokia 4g	 2.4" Screen	 2 MP Camera	 256MB RAM	 1200mAh Battery
 apple iphone 8	 4.7" Screen	 12 MP Camera	 2GB RAM	 1821mAh Battery
