Updated DB with rowEntry : RowEntry{mobileId=2678, sellerId=1, price=16990, availableStatus=1, mobileLink='https://www.amazon.in/Vivo-V11-Pro-Dazzling-Storage/dp/B07H2CNLMC/ref=sr_1_285?qid=1567246539&s=electronics&sr=1-285', newPrice=17985, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2682, sellerId=1, price=10370, availableStatus=1, mobileLink='https://www.amazon.in/Samsung-Galaxy-Max-Gold-RAM/dp/B07V4N5TV9/ref=sr_1_293?qid=1567246542&s=electronics&sr=1-293', newPrice=10288, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2684, sellerId=1, price=12490, availableStatus=1, mobileLink='https://www.amazon.in/Vivo-Burgundy-Storage-Additional-Exchange/dp/B07PP2J24T/ref=sr_1_298?qid=1567246542&s=electronics&sr=1-298', newPrice=14000, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2686, sellerId=1, price=17980, availableStatus=1, mobileLink='https://www.amazon.in/Redmi-Note-Neptune-Blue-128GB/dp/B07SSGJYH3/ref=sr_1_306?qid=1567246542&s=electronics&sr=1-306', newPrice=17600, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2688, sellerId=1, price=9999, availableStatus=1, mobileLink='https://www.amazon.in/Honor-Lite-Black-64GB-Storage/dp/B07QWLBPJW/ref=sr_1_308?qid=1567246542&s=electronics&sr=1-308', newPrice=7999, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2689, sellerId=1, price=4999, availableStatus=1, mobileLink='https://www.amazon.in/Gionee-F205-16GB-Black-Gold/dp/B07F38LVDX/ref=sr_1_313?qid=1567246545&s=electronics&sr=1-313', newPrice=4909, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2692, sellerId=1, price=5980, availableStatus=1, mobileLink='https://www.amazon.in/Coolpad-Cool-Indigo-16GB-Storage/dp/B07PFXNCS3/ref=sr_1_317?qid=1567246545&s=electronics&sr=1-317', newPrice=6090, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2697, sellerId=1, price=19200, availableStatus=1, mobileLink='https://www.amazon.in/POCO-Steel-Blue-6gb-128gb/dp/B07H6MHL7H/ref=sr_1_326?qid=1567246545&s=electronics&sr=1-326', newPrice=19488, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2699, sellerId=1, price=8999, availableStatus=1, mobileLink='https://www.amazon.in/Redmi-5-Rose-Gold-64GB/dp/B077PWBGRD/ref=sr_1_328?qid=1567246545&s=electronics&sr=1-328', newPrice=8423, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2701, sellerId=1, price=8399, availableStatus=1, mobileLink='https://www.amazon.in/Realme-Diamond-Blue-32GB-Storage/dp/B07RKWR8J2/ref=sr_1_331?qid=1567246545&s=electronics&sr=1-331', newPrice=8499, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2702, sellerId=1, price=16500, availableStatus=1, mobileLink='https://www.amazon.in/Realme-Nitro-Blue-64GB-Storage/dp/B07SKJ8K5Q/ref=sr_1_333?qid=1567246545&s=electronics&sr=1-333', newPrice=16490, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2704, sellerId=1, price=29990, availableStatus=1, mobileLink='https://www.amazon.in/Emerald-Storage-Additional-Exchange-Offers/dp/B07KTMC8FM/ref=sr_1_338?qid=1567246548&s=electronics&sr=1-338', newPrice=34919, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2705, sellerId=1, price=49990, availableStatus=1, mobileLink='https://www.amazon.in/Huawei-LYA-L29-Twilight-128GB-Storage/dp/B077Q19RDH/ref=sr_1_339?qid=1567246548&s=electronics&smid=A14CZOWI0VEHLG&sr=1-339', newPrice=54990, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2706, sellerId=1, price=22990, availableStatus=1, mobileLink='https://www.amazon.in/Oppo-R17-Ambient-Additional-Exchange/dp/B07LFFT3PP/ref=sr_1_340?qid=1567246548&s=electronics&sr=1-340', newPrice=28990, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2707, sellerId=1, price=9500, availableStatus=1, mobileLink='https://www.amazon.in/Moto-Plus-32GB-Fine-Gold/dp/B071ZZ8N5Y/ref=sr_1_341?qid=1567246548&s=electronics&sr=1-341', newPrice=10999, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2708, sellerId=1, price=12930, availableStatus=1, mobileLink='https://www.amazon.in/Vivo-Y83-Pro-Storage-Offers/dp/B07GQ6WLKZ/ref=sr_1_343?qid=1567246548&s=electronics&sr=1-343', newPrice=12929, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2712, sellerId=1, price=9486, availableStatus=1, mobileLink='https://www.amazon.in/Xiaomi-Mi-Note-Gold-Storage/dp/B07P72FGSY/ref=sr_1_359?qid=1567246548&s=electronics&sr=1-359', newPrice=9428, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2713, sellerId=1, price=8290, availableStatus=1, mobileLink='https://www.amazon.in/Nokia-3-1-Plus-Baltic-Storage/dp/B07JMHBMD1/ref=sr_1_362?qid=1567246551&s=electronics&sr=1-362', newPrice=8240, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2714, sellerId=1, price=7199, availableStatus=1, mobileLink='https://www.amazon.in/Nokia-3-2-Black-16GB-Storage/dp/B07SK91DZ8/ref=sr_1_364?qid=1567246551&s=electronics&sr=1-364', newPrice=7699, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2715, sellerId=1, price=10735, availableStatus=1, mobileLink='https://www.amazon.in/Nokia-6-1-Plus-Black-64Gb/dp/B07M7PJNYJ/ref=sr_1_365?qid=1567246551&s=electronics&sr=1-365', newPrice=10657, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2717, sellerId=1, price=16990, availableStatus=1, mobileLink='https://www.amazon.in/Vivo-V9Pro-Snapdragon-660AIE-Offers/dp/B07HLNGL6R/ref=sr_1_368?qid=1567246551&s=electronics&sr=1-368', newPrice=15999, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2718, sellerId=1, price=7990, availableStatus=1, mobileLink='https://www.amazon.in/LG-Q7-Aurora-Black-Storage/dp/B07GZ5BX6P/ref=sr_1_374?qid=1567246551&s=electronics&sr=1-374', newPrice=10969, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2724, sellerId=1, price=4339, availableStatus=1, mobileLink='https://www.amazon.in/iVOOMi-i2-Lite-Mercury-Storage/dp/B07QM2VD8V/ref=sr_1_391?qid=1567246554&s=electronics&sr=1-391', newPrice=4340, newAvailableStatus=1}
Updated DB with rowEntry : RowEntry{mobileId=2725, sellerId=1, price=6695, availableStatus=1, mobileLink='https://www.amazon.in/Moto-Plus-Starry-Black-Storage/dp/B077QHMGM6/ref=sr_1_394?qid=1567246554&s=electronics&sr=1-394', newPrice=6650, newAvailableStatus=1}
